text,label,char_count,word_count
Ahụrụ m ọtụtụ ji n'obí eze mgbe m gara ebe ahụ n'izu gara aga.,igbo,62,14
"Mission StatementCatholic Digest connects with readers through personal stories of triumphs and struggles, joys and challenges, and also the lighter side of Catholic living.",English,174,24
Ƙurajen fuskarta ne ya sa ta ke amfani da sabulu na musamman.,hausa,61,12
"In fact, coffee can pick up flavors and smells from neighboring foods.",English,70,12
"However, that's something you can only figure out based on limited observation and basic reasoning.",English,99,15
Kìí ṣe gbogbo ènìyàn tí ń gbé lékòó ló ń lo mità pìpèéèdì,yoruba,57,13
M dọrọ gị aka ná ntị ka ị ghara ịkpọ onye na-edeba aha ụlọ ikpe ụnyaahụ!,igbo,72,16
Mò ń rò ó pé kí n lọ kó àwọn ìwé-ẹ̀rí mi lọ sí ilé-ìfowópamọ́.,yoruba,77,15
Kayan aikin haifuwar da suka yi amfani da su akan lami sun kasance masu ban tsoro.,hausa,82,16
Ígwè ọkụ anwụ ga-abụ isi iyi ọkụ na Naijiria n'afọ na-abịa abịa.,igbo,64,12
Surface Acoustic  Uses two sensors to send and receive small electric signals that the finger can interrupt to signal a touch.,English,127,22
Ọ gwabugo ya ka ọ gharaị ịṅụ ogogoro!,igbo,37,8
"However, planting trees alone will not solve the problems of rising temperatures, increased air pollution and climate change.",English,125,18
Ìtàn àró̩bá fi ye mi pé iṣẹ́ akínkanjú ló so̩ kìnìún di o̩ba àwo̩n e̩ranko,yoruba,87,15
Agbara m enyi egbe bụ eziokwu ma enwudere m enyi n m'ukwu bụ okwuasi,igbo,68,14
Ụfọdụ ahịa mkpụrụ osisi na akwụkwọ nri dị obere.,igbo,48,9
A national championship?,English,24,3
E mebikwana ihe n'ebe egwuregwu!,igbo,32,5
Ṣé inú oṣu kẹta ni ẹ ṣé ìgbeyàwó ni?,yoruba,36,9
"In the past, OSHA has used these reports as a source of up-to-date information on power press machines.",English,103,18
"Hard to say, but it'll be a lot less time than the 150-year gap between Florence Nightingale and CNN's work on the human cost of war.",English,133,26
Àwọn yẹn ń ṣe eré àfẹṣinsá,yoruba,26,6
Ọkọ ojú omi lè rìn lórí omi nikan.,yoruba,34,8
Awọn ero pẹlu fifi sori ina hihan giga fun aabo,yoruba,47,10
Its symptoms can begin as early as in the womb.,English,47,10
"This is because counties where this indicator is high are also poorer than average  again, income explains most of this.",English,121,21
Agaghị m achọ ka ọkụ eletrik dọọ m,igbo,34,8
Kwallon kafa sanannen ƙwallon ƙafa ne a duniya.,hausa,47,8
