text,label
Ana amfani da na'urar duba ciki don lura da bugun zuciyar jariri.,hausa
Ka kawo min kaji guda ɗari bakwai da hamsin!,hausa
Fita yayi wankan shiga musulunci,hausa
Ana sayar da Kafinol a wancan kantin,hausa
wannan ɗan sanda kayansa sun tsufa,hausa
Duhu yana yawa a cikin dare.,hausa
"tace da ita "" miƙo min turare!""",hausa
Anjima za muje kauye gaida kankanin mu.,hausa
Shi ma ya ce yana so ya yi wasan ruwa.,hausa
Mutum ba ya a iya tafiya ba takalmi.,hausa
Yi cincin yanzu! In ji uwar.,hausa
Sun gaya wa Ruqayyah a makarantarta cewa ta yi amfani da fil a duk lokacin da za ta fita da daddare don guje wa aljanin,hausa
Likitan ya kashe kan sa.,hausa
Ka na sauraron labaran soyayya kuwa?,hausa
NEPA sun ɗauke wuta,hausa
Da wuya idan kashigo birni kaga gidajen ƙasa,hausa
Girmama na gaba yana taimakawa a zauna lafiya.,hausa
A'a ban taɓa zuwa ba.,hausa
A wani kasuwa ake sayar da shinkafa?,hausa
Saboda haka za mu iya yin zane tare,hausa
Bello yace shi da Abubakar sunga kadangare a cikin kwana da daddare.,hausa
Ta saya loratadin jiya saboda alerji,hausa
Zamu sake ɗaukan awon nauyin Aisha gobe,hausa
Kinsan inda makarantar take?,hausa
Za ka ziyarci mai ciwon daji gobe?,hausa
Karya shine faɗar abinda ba haka bane,hausa
Auren abokin zama ɗaya ya halarta a musulunci.,hausa
Ni da mahaifina munada ra'ayi iri ɗaya a harkar siyasa.,hausa
Eh ya san tatsuniyoyi sosai,hausa
"Dubu huɗu, za'a iya raba ta da ɗari biyu.",hausa
Awwal ya kulle shagon aski.,hausa
Zuciyarsa na bugawa.,hausa
duk mai rai sai ya mutu,hausa
Malaman makarata suna da mutunci a idon mutane,hausa
Mangoro 'ƴa'ƴan itatuwa ne na yanayi.,hausa
An zabe ni a cikin yan buga wasan badminton.,hausa
Kwallon kafa sanannen ƙwallon ƙafa ne a duniya.,hausa
kaikai koma kan mashekiya.,hausa
Za ka je shagon askin gobe?,hausa
Malam ya kira rajista yau da safe.,hausa
"Za'a zartas da hukuncin kisa ga matar da ta kashe mijin ta ta hanyar ratayewa, wata biyu masu zuwa",hausa
Wajen cin abinci na kan hanya.,hausa
Ya iya tatsuniyoyi sosai?,hausa
An jera rodi yadda ya kamata jiya da yamma.,hausa
Ana rushe gidajen karuwai a Zariya.,hausa
Kuliya yana da rayuka tara.,hausa
Babu tabbaci Sani zai kama gida ma ɗaki biyu.,hausa
Zamu je koto gobe,hausa
Tsawon gidan Mamman zai kai kafa saba'in da biyar.,hausa
Masu fenti da maƙera suna aiki tare,hausa
Kin samu man talo-talon?,hausa
Dankalin turawa shuki mai jijiya ne.,hausa
Sa me ni a filin gangami na kauye.,hausa
Eh zan canza madubin babur ɗina,hausa
A halin yanzu Amina tana kula da sashen kwastam a tashar jirgin ruwa ta Legas.,hausa
Ban san lokacin da zai dawo ba,hausa
Zan kai ƙarar shi gun iyayen shi saboda yana cin zarafina.,hausa
Amina gobe zata wanke kayanta,hausa
Kauce a hanya.,hausa
Gobe ina son a rusa gidan lakan nan!,hausa
"Kusoshi girma-girma ne, kanana da manya",hausa
Wasu ɗalibai sun shiga ɗakin karatu.,hausa
A'a ina wurin gasar ɓoye-ɓoye yanzun,hausa
Manoma suke ciyar da kasa,hausa
Malamr su za ta dake shi,hausa
Zan kasance mai kula da gasa nama a wurin dafa abinci abokina mako mai zuwa,hausa
Mashood ɗan wasan kwaikwayo ne.,hausa
Ka taɓa zuwa Madina?,hausa
Zan gaya wa yara na dukan tatsuniyan da baba ya gaya mani lokacin da nake girma.,hausa
"A'a, kar ka taho da gudumar",hausa
A Kano ake hawan dutsen dala.,hausa
Jarkan magyaɗa yakai jaka ɗari uku,hausa
Aliyu yana waje yana wasa da gulu.,hausa
Ƴar kishiyar mamansu ta fara zuwa sakandare,hausa
Isa ya yi jawabi a kan abin da ya kamata a yi lokacin da ake yi wa yaro kaciya.,hausa
Ɗari biyu da hamsin da hudu yazo kafin Ɗari biyu da hamsin da biyar.,hausa
mutane sun zo domin ganin saukar jirgi,hausa
Kisa da cin mesa haram ne a kasan Delta a'Nijeriya.,hausa
Mataimakin shugaban makarantar ba ya cikin yanayi.,hausa
Na ga Atama a ɗakin Ba ɗauke da sakamakon gwajin.,hausa
Ku je ku binne shi yanzu!,hausa
Shin Ali zai tsira daga wannan cutar dajin?,hausa
manja ana cin doya dashi,hausa
Akwai saƙonni da ake isarwa a cikin ƙarin magana.,hausa
Bata iya yin iƴo ba sosai.,hausa
Saurari karin maganar da zan yi!,hausa
A arewa yara mata basu fiye buga ƙwallon ƙafa ba.,hausa
Gwanda tana ɗauke da sinadari mai saka kuzari da sinadarin bitamin.,hausa
Da soso yawanci mutane ke wanka,hausa
A gobe ne za a yi wasannin kokawa,hausa
"Mun je Vatican, ƙasar da sarkin kirista ke mulki.",hausa
Kan shafe makonni kadan a gidan yari kuma ka yi siririya.,hausa
Kowane shugaban sashe yana da alhakin tsara lokacin darussa.,hausa
Matashi mai rawa ya mutu saboda yawan shan ƙwayoyi,hausa
Jiya Bashari ya dawo daga Abuja.,hausa
Wannan shine tsarin shari'a.,hausa
Kwana ɗari tara da hamsin da uku dai dai yake da shekara uku da wata bakwai da kwana sha uku,hausa
Masanaʼantar fim ɗin hausa suna samun kuɗi masu yawa.,hausa
A halin yanzu ina kallon shirin talabijin.,hausa
Mota ta ta dena shiga giya,hausa
Wannan lauyan ma'aikatu ne.,hausa
Naira iri Dari biyu Naira dari biyu ne.,hausa
Abinda babba ya hango yaro ko ya hau sama ba zai hango ba,hausa
Zandafa doya da Ganyen pumpkin.,hausa
Laifuka kala daban daban a cikin unguwannin talakawa ake samu,hausa
Banɗaki waje ne wanda ake son shiga da fitar iska sosai,hausa
An canja shugaban jam'iyan gidan yari,hausa
Sun tabbatar da hujjoji kafin a yanke hukunci na karshe.,hausa
Ana isar da saƙo mai nauyi ta karin magana.,hausa
Kallonta yayi daidai.,hausa
Yi shiru maƙaryaci!,hausa
Mijinta ne dan sanda.,hausa
Cutar daji tana da matsaloli da yawa.,hausa
Ana amfani da kayan aiki na musamman don lodi da sauke kaya daga tasoshin ruwa.,hausa
Masarar dafaffiya kake so ko gasasshiya?,hausa
Naje shagon sayar da simintin da kaina.,hausa
An kwantar da Hajara da take ta haila.,hausa
kaman mudu nawa na shinkafa za'a dafa?,hausa
"Akwai kaza a cikin "" chicken pie""",hausa
A da akwai dabbobi da yawa a Yankari.,hausa
Bishiyar zogalenmu ta mutu.,hausa
Ta ƙira likitar daga wayan ofis,hausa
Buhun siminti na wa ya rage?,hausa
Kai abinci ga babanka yanzu!,hausa
Kande ta sa jan-baki.,hausa
Ku wakilci ni a taron majalisa sallah gobe,hausa
Suna koyan wasannin da za ayi wa mutane.,hausa
Za muje ƙauyen mu,hausa
share falon zan Yi Baki!,hausa
Na ɗauko abokina daga gareji da yamma,hausa
Wani wanzami ya buɗe sabon wurin aski.,hausa
Karuwa bata kiwon kaza.,hausa
"Motoci basu da tsada kaman Jirage, amma ba su da daɗi kamar jiragen sama.",hausa
Ana wanke gashi a shagon gyaran gashi.,hausa
Girmama wa dattawanku.,hausa
Su Bala sun siyo waina daga bauchi,hausa
Muhawara ta zama gama-gari a makarantun sakandaren Najeriya,hausa
Al'adan ta ya tsaya,hausa
Yara na son wasan atisayi.,hausa
Mama na ta na da littafai da yawa,hausa
